vowels,time_s,F1_Hz,F2_Hz,F3_HZ,F4_Hz,F0_Hz
Keti Grei_a_16,0.928679,949.124099,1512.185226,2384.170061,3487.11061,321.7085261
Keti Grei_a_17,0.925873,973.945056,1263.733565,2433.422529,3605.41717,397.1595186
Keti Grei_a_2,1.159138,820.404444,1441.445809,3145.995075,3428.162998,369.0746834
Keti Grei_a_3,0.80271,773.717612,1314.6538,3174.153135,3254.115808,326.197676
Keti Grei_a_4,0.912812,737.933372,1379.707887,3102.407075,3662.105695,248.67052
Keti Grei_a_5,0.437041,1060.258194,1558.418684,2791.404931,3658.031528,305.3718459
Keti Grei_a_6,0.505108,698.325586,1489.828682,2965.61986,3648.495075,215.3960342
Keti Grei_a_7,0.541485,960.940929,1494.474291,2982.572718,3225.53609,381.2647717
Keti Grei_a_8,0.554546,846.542696,1651.49881,2908.034632,3975.14174,265.9212951
Keti Grei_a_9,0.345612,983.105989,1552.528573,2260.015731,3506.852127,393.7375808
Keti Grei_e_1,0.463163,822.095901,1809.7519,2910.910721,2974.603845,420.1707435
Keti Grei_e_10,0.883883,819.427871,1730.282795,2965.783486,3758.864931,376.3410357
Keti Grei_e_11,0.674904,1003.211181,1907.998332,3212.937354,4253.784202,332.7031134
Keti Grei_e_2,0.188878,760.669282,1918.535466,2978.171533,3604.167712,379.2194139
Keti Grei_e_3,0.518169,680.015459,1941.162382,2836.741058,3890.523658,329.6706786
Keti Grei_e_4,0.766332,762.014844,1812.094538,2967.580176,3848.770902,356.3807545
Keti Grei_e_5,0.463163,927.311247,1951.441148,2821.340966,3658.923993,397.6940226
Keti Grei_e_6,0.31949,749.684621,1854.867828,2940.266508,3123.397678,378.6236091
Keti Grei_e_7,0.505108,776.231683,1771.822117,3258.535735,3876.085193,437.8419274
Keti Grei_e_8,0.632914,473.497159,1822.041194,2959.834007,3511.792089,227.854187
Keti Grei_e_9,0.883883,619.061508,1725.389583,2696.553771,3754.044304,286.9665906
Keti Grei_i_1,0.505108,402.94027,2299.384894,2620.93974,3534.565123,248.799791
Keti Grei_i_10,0.502302,507.573131,2195.669096,2595.317692,3875.062085,375.4385119
Keti Grei_i_2,0.53123,523.395153,2164.92583,2659.767896,3613.620698,276.4545625
Keti Grei_i_3,0.476225,492.954113,2275.507106,2665.137579,4006.514359,299.0483556
Keti Grei_i_4,0.90072,655.327525,2117.463817,2670.579398,3406.589378,346.5820791
Keti Grei_i_5,0.541485,575.88221,2237.300122,2590.150344,3765.591019,400.7866896
Keti Grei_i_6,0.795261,633.981397,2226.865622,2699.285473,3987.41728,312.4732853
Keti Grei_i_7,0.437041,532.85022,2128.699698,2626.207022,3857.520062,381.5152926
Keti Grei_i_8,0.651587,528.72074,2208.276474,2687.184771,4026.437918,436.0054099
Keti Grei_i_9,0.560159,436.509049,2278.878109,2682.753134,3938.611728,294.9718432
Keti Grei_u_1,0.437041,637.522668,1278.662927,2967.531871,3520.202036,283.1083704
Keti Grei_u_2,0.332551,639.514755,1409.778836,2764.816604,2989.094201,262.5639282
Keti Grei_u_3,0.792455,532.514881,1021.311388,2718.801028,3324.972265,236.1648123
Keti Grei_u_4,0.750465,634.103342,1153.980285,2736.724367,3295.790255,230.152899
Keti Grei_u_5,0.544291,497.926192,1105.657886,2773.127598,3687.644307,404.1053824
Keti Grei_u_6,0.437041,566.322428,1049.114136,2617.268246,3365.470902,295.6008678
